"Ovr","Name","Team","W1","W2","W3","W4","W5","W6","W7","W8","W9","W10","W11","W12","W13","W14","W15","W16","W17","W18"
"222.2","Tyreek Hill","MIA","10","31","3.3","15.9","6","17.7","7.2","19.5","20.3","10.4","","9","20.6","14.1","12.9","10.3","11.7","2.3"
"10.2","Brandon Johnson","DEN","","","","","","","","","","","0.2","7","0","0","3","","0","0"
"1.1","Miles Boykin","PIT","0","","","0","1.1","0","0","0","","0","0","","0","0","0","0","0","0"
"6.4","Jake Kumerow","BUF","0","5","1.4","","","","","0","0","0","","","","","","","",""
"48.2","Nelson Agholor","NE","2.8","17","4.1","4.6","0","","0","0.2","0","","1.8","12.5","1.7","3.2","0.3","0","0","0"
"17.4","Steven Sims","PIT","","","","","0","-0.5","","2","","1.7","-0.3","0.9","1.9","3.1","2.9","0.7","3.4","1.6"
"81.5","Richie James","NYG","6.1","5.1","4","0.9","1.6","1.8","0.2","0","","","10.8","10.1","2","12.1","4.2","9","13.6",""
"100","Keenan Allen","LAC","6.6","","","","","","1.1","","","","9.4","10.9","14.8","9.2","8.6","10.4","6.8","22.2"
"0.7","Maurice Alexander","DET","","","","0","0","","0","0.7","","","","","","","","","",""
"215.6","A.J. Brown","PHI","15.5","6.9","14.5","9.5","3.2","12.7","","33.6","11.9","0.7","6","10.6","23.9","13","18.1","10.3","15.7","9.5"
"2.5","Daylen Baldwin","CLV","","","","","","","","","","","","","","","2.5","","",""
"2","Keke Coutee","IND","","","","","","","","","0","2","","","","","","","",""
"136.1","DJ Moore","CAR","5","10.3","1.5","6.1","6.7","0.7","12.6","21.5","2.4","2.9","2.4","16.3","","0.6","13.3","15.1","17.7","1"
"9.7","Dax Milne","WAS","0","0.6","1.2","0","0","0.5","0.4","0.4","6.6","0","0","","","","","0","","0"
"0","Jared Bernhardt","ATL","","0","0","","","","","","","","","","","","","","",""
"0","Cornell Powell","KC","","","","","","","","","","","0","0","","","","","",""
"1.9","Danny Gray","SF","","0","0","","0","","0","0","","","0","0","0","1","0","0","0.9","0"
"70.9","Marvin Jones Jr.","JAX","3.8","3.3","9.3","0","10.4","","5.7","0","4.8","3.3","","8.2","1.7","2.2","7.7","1.5","6.1","2.9"
"2.6","DJ Turner","LV","","","","","","","2","0","","0","","0","0","0.6","","","",""
"86.1","Parris Campbell","IND","3.7","0","1","4.3","2.2","11.7","13","7.1","1.6","13.6","6.7","1.4","4.5","","1.3","1.9","5.3","6.8"
"10.6","David Sills V","NYG","0","3.7","2","0.5","1.2","0.8","1.9","0.5","","","","","0","","","","",""
"110.6","Drake London","ATL","7.4","14.6","11.4","1.7","3.5","4","0.9","3.1","2.3","9.8","6.2","2.9","9.5","","7","9.6","4.7","12"
"2","Lil'Jordan Humphrey","NE","0","1.1","0","0.9","0","","","","","","","","","","","","",""
"14.2","Samori Toure","GB","","","","","","","0.4","9.7","3.4","0","0","0","0.7","","0","0","0","0"
"2.4","Dareke Young","SEA","0","","","","","0","0","0","0","0","","0","0","0","0","0","0","2.4"
"93.6","Jahan Dotson","WAS","15","11.9","1","10.3","","","","","","1.4","1.6","0","11.4","","16.5","13.6","3.7","7.2"
"40.5","Rashod Bateman","BLT","11.9","16.8","5.9","1.7","","","4.2","0","","","","","","","","","",""
"15.3","DeSean Jackson","BLT","","","","","","","","","1.6","","","7.4","1","3.4","0","1","0.9",""
"0","Stanley Morgan","CIN","0","0","0","0","0","0","","","0","","0","0","0","0","0","0","","0"
"95.5","Courtland Sutton","DEN","7.2","12.7","9.7","11.2","7.4","1.4","2.3","1.3","","6.6","8","7.5","0","","","6.4","4.4","9.4"
"159.4","Ja'Marr Chase","CIN","18.9","5.8","8.7","8.1","5","25.2","25","","","","","","9.7","18.5","12","7.9","","14.6"
"4.4","Racey McMath","TEN","","","","","","","","","","","","","","0","0.1","","3.9","0.4"
"1.5","Bryan Edwards","ATL","0","0.2","","","1","0","0","0.3","","0","","","","","","","",""
"23.9","Jalen Nailor","MIN","","","","1.3","","","","","","","1.5","","0","","0","","14.9","6.2"
"0","Willie Snead IV","SF","","","","","","0","","0","","","","","","","0","0","",""
"43.5","Justin Watson","KC","0","11","0","0","1","0","6.4","","3.7","1.2","6.7","2.6","1.5","0","0","0","2.7","6.7"
"3.2","Montrell Washington","DEN","","1.9","0","0.4","0.9","0","0.2","0.1","","0","0","-0.2","-0.1","0","0","0","",""
"16.8","Anthony Schwartz","CLV","3.9","0","0","0","0","0","","","","0.3","0","10.8","1.8","","","","",""
"18.8","KJ Hamler","DEN","0","","0","5.5","1","4.4","1.8","6.1","","","","","","","","","",""
"90.7","Diontae Johnson","PIT","5.5","5.7","8.4","2.2","6","3.6","4.5","3.5","","6.3","2.2","4.9","6","8.2","10","6.4","3.5","3.8"
"72","Olamide Zaccheaus","ATL","4.9","8.1","4.9","5.5","9.9","5.8","3.1","0.4","1.9","3.4","2.2","9.1","1.3","","0","1.8","0","9.7"
"0","Josh Gordon","TEN","","0","0","","","","","","","","","","","","","","",""
"123.1","Christian Watson","GB","4.1","0.9","","8.3","-0.2","","","1.2","2.4","28.7","17.1","17","21.4","","4.6","4.9","1.1","11.6"
"115.2","Jakobi Meyers","NE","6.2","9.5","","","17.1","6","9.4","12","4.4","","5.2","6.2","2.2","","2.7","14.3","10.8","9.2"
"45.2","Tutu Atwell","LA","0","0","0","","5.4","0.9","","","","","12.2","2.3","7.1","4.5","0.6","1.4","1","9.8"
"16.3","Breshad Perriman","TB","-0.7","10.5","4.4","","","0","0","1.1","0.1","0","","0","","","0","","","0.9"
"6.2","James Proche II","BLT","0","","","0","0.7","0","0","2.4","2.2","","0","0","0.9","0","0","","0","0"
"21.8","Marquez Callaway","NO","0","0","6.4","5.3","0.5","3.6","2","1","2.4","","0.6","","0","","0","0","","0"
"57","Chase Claypool","CHI","5.4","2.6","4.6","0","5","16.4","4.1","4.5","1.7","0.8","1.1","5.1","2.8","","","","0","2.9"
"2.4","Dezmon Patmon","IND","","2.4","","","","","","","","","","","","","","","",""
"2.2","Andy Isabella","BLT","1","","1.1","0","","","","","","","","","","","","0","0.1",""
"65.6","Corey Davis","NYJ","7.7","14.3","2.7","13.4","3.8","5.2","0","","","","","0.9","8.5","1.5","","1.4","4.5","1.7"
"62.5","Greg Dortch","ARZ","6.3","11.5","8","0.6","0","0","6.6","1.2","-0.2","0","10.3","","","0","0","12.3","1.5","4.4"
"5.4","Cody Hollister","TEN","2.2","0","0","0","0","","3.2","0","0","0","0","0","","","","","",""
"186.2","Jaylen Waddle","MIA","13.7","29.1","11.1","3.9","2.3","12.9","8.8","22.6","14.5","6.6","","8.5","0.9","3.1","17.4","20.3","5.2","5.3"
"0","James Washington","DAL","","","","","","","","","","","","","","0","0","","",""
"55","Terrace Marshall Jr.","CAR","","0","","","3","0","3.1","8.7","11.3","4.3","7.6","0.8","","1.8","5.1","5.5","1.5","2.3"
"125.5","Gabe Davis","BUF","14.8","","3.7","1.3","29.1","13.4","","3.5","3.3","15.3","6.8","3.8","7.5","3.1","5.6","10.5","","3.8"
"2.8","Tyrie Cleveland","DEN","0","2.8","","","0","","","","","0","","","","","","","",""
"0","Trinity Benson","DET","","","","","","","","","","0","","","","","","","",""
"0","Johnny Johnson III","HST","","","","","","","","","","","","","","","","","","0"
"64.7","Robert Woods","TEN","1.3","3.9","8.5","9","3.7","","2.6","2.6","0","1","6.9","1.6","0.6","4.9","1.2","3","9.9","4"
"161.6","Amon-Ra St. Brown","DET","12.4","30.4","7.3","","1.8","","0.4","6.9","5.5","12.1","8","18.9","23.6","7.4","8.2","7.6","6.2","4.9"
"73.5","Noah Brown","DAL","6.8","15.1","5.4","6.1","0.5","1","5","","","0.3","4.2","0","1.5","8.5","16.9","0.5","0.7","1"
"0","Raleigh Webb","NE","","","","","","","","","0","","0","","","","","","",""
"1.6","Dennis Houston","DAL","1.6","0","","","","","","","","","","","","","","","",""
"45.3","Jamal Agnew","JAX","1.2","0.1","1.7","17","0.3","2.4","","","0","0.4","","9.7","0.3","4.4","6.4","0.8","-0.2","0.8"
"6","Jamison Crowder","BUF","2.8","1.6","0.9","0.7","","","","","","","","","","","","","",""
"65.9","Josh Reynolds","DET","2.8","9.8","9.6","14.1","9.2","","0.8","1.4","","","","0","1.9","11.1","0","3.1","0.5","1.6"
"54.9","Van Jefferson","LA","","","","","","","","0","0","8.7","4.1","8.9","3.9","10.4","3.2","1.9","7.7","6.1"
"2","Penny Hart","SEA","","0","1.5","0","0","","","","0","0","","","","","0.3","0.2","",""
"0","Preston Williams","CAR","","","","","","","","","","","","","","","","","","0"
"151.8","Brandon Aiyuk","SF","4.7","6.3","9.9","3.7","5.8","20.3","8.2","14.1","","8.4","14","6.5","4.6","11.7","1.9","8.1","17.7","5.9"
"10.2","John Brown","BUF","","","","","","","","","","","","","0","0","","","","10.2"
"1.7","Braylon Sanders","MIA","","","","","","","","1.7","","","","","","","0","0","",""
"45","Hunter Renfrow","LV","2.1","5.9","","","2.5","","5.5","0.6","2.6","","","","","","1.4","10.2","1.9","12.3"
"80.4","Marquez Valdes-Scantling","KC","4.1","1.3","4.8","6.3","9","0","11.1","","1.2","12","1.8","5.6","7.1","2","8.6","0","2.8","2.7"
"2.8","Jaelon Darden","CLV","0.2","0","2.5","0","0","","0.1","","","","","","","","","","0","0"
"120.8","Chris Godwin","TB","3.5","","","5.9","6.3","9.5","4.5","7.5","3.7","13.1","","17","6.3","5.4","14.3","6.3","12","5.5"
"1.7","Juwann Winfree","GB","1.7","","0","","","0","","","","","","","","","","","",""
"53.4","Quez Watkins","PHI","0","12.9","0","0","1.9","-0.3","","0","2.5","8","9.1","9.5","3.7","1.9","0.9","1.9","0","1.4"
"0","Rashard Higgins","CAR","","","0","0","","","","","","","","","","","","","",""
"47.6","Jauan Jennings","SF","6.2","0.4","0.5","2.2","4.5","1.8","2.4","","","4","0","10.9","3.4","0.5","3.1","2.1","4.6","1"
"208.6","Stefon Diggs","BUF","18.2","32.8","7.4","6.2","16.2","20.8","","16.8","9.3","12.8","10.8","13.7","15.2","3.7","5.7","2.6","","16.4"
"2.4","Simi Fehoko","DAL","1.2","0","1.2","0","0","","","","","","","","","","","","",""
